title,description,main_category,super_category,is_active,meta_title,meta_desc,alt_tag,main_category_id,id_num
2005 White Sox Championship,This is the category description,Chicago White Sox,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,12,1
2009 Winter Classic,This is the category description,Chicago Blackhawks,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5,2
2010 Blackhawks Championship,This is the category description,Chicago Blackhawks,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5,3
2013 Blackhawks Stanley Cup Champions,This is the category description,Chicago Blackhawks,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5,4
Best Selling Chicago Skyline,This is the category description,Best Sellers,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,1,5
Best Selling Chicago Sports,This is the category description,Best Sellers,Most Popular,TRUE,This is the meta title,This is the meta desc,This is the alt tag,1,6
Big Ten College Stadiums,This is the category description,College Football,Other Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,13,7
Black & White Boston Photos,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,8
Black & White Chicago - Horizontal,This is the category description,Chicago Black & White,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,4,9
Black & White Chicago - Vertical,This is the category description,Chicago Black & White,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,4,10
Black & White Chicago Panoramas,This is the category description,Chicago Panoramas,Chicago Cityscape,TRUE,This is the meta title,This is the meta desc,This is the alt tag,10,11
Black & White San Francisco,This is the category description,San Francisco,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,19,12
Black & White Wrigley Field,This is the category description,Chicago Cubs,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,8,13
Boston Aerial Images,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,14
Boston Landmarks & Attractions,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,15
Boston Public Garden,This is the category description,Boston,Top US Cities,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2,16
