category_id,mat_id
1,2
1,1
2,9
2,2
2,1
3,9
3,2
3,1
4,9
4,2
4,1
5,6
5,5
5,4
5,3
5,2
5,1
6,6
6,5
6,4
6,3
6,2
6,1
7,17
7,16
7,15
7,14
7,13
7,2
7,1
8,2
8,1
9,2
9,1
10,2
10,1
11,2
11,1
12,2
12,1
13,2
13,1
14,6
14,5
14,4
14,3
14,2
14,1
15,6
15,5
15,4
15,3
15,2
15,1
16,6
16,5
16,4
16,3
16,2
16,1
17,6
17,5
17,4
17,3
17,2
17,1
18,6
18,5
18,4
18,3
18,2
18,1
19,9
19,2
19,1
20,14
20,2
20,1
21,2
21,1
22,6
22,5
22,4
22,3
22,2
22,1
23,8
23,2
23,1
24,9
24,2
24,1
25,6
25,5
25,4
25,3
25,2
25,1
26,6
26,5
26,4
26,3
26,2
26,1
27,7
27,2
27,1
28,6
28,5
28,4
28,3
28,2
28,1
30,6
30,5
30,4
30,3
30,2
30,1
31,2
31,1
32,6
32,5
32,4
32,3
32,2
32,1
33,6
33,5
33,4
33,3
33,2
33,1
34,2
34,1
35,11
35,2
35,1
36,6
36,5
36,4
36,3
36,2
36,1
37,2
37,1
38,15
38,13
38,9
38,2
38,1
39,15
39,2
39,1
40,9
40,2
40,1
41,6
41,5
41,4
41,3
41,2
41,1
42,2
42,1
43,6
43,5
43,4
43,3
43,2
43,1
44,10
44,2
44,1
45,9
45,2
45,1
46,6
46,5
46,4
46,3
46,2
46,1
47,6
47,5
47,4
47,3
47,2
47,1
48,6
48,6
48,5
48,5
48,4
48,4
48,3
48,3
48,2
48,2
48,1
48,1
49,8
49,2
49,1
50,8
50,2
50,1
51,8
51,2
51,1
52,8
52,2
52,1
53,6
53,5
53,4
53,3
53,2
53,1
54,6
54,5
54,4
54,3
54,2
54,1
55,6
55,5
55,4
55,3
55,2
55,1
56,6
56,5
56,4
56,3
56,2
56,1
57,6
57,5
57,4
57,3
57,2
57,1
58,6
58,5
58,4
58,3
58,2
58,1
59,2
59,1
60,2
60,1
61,2
61,1
62,6
62,5
62,4
62,3
62,2
62,1
63,7
63,2
63,1
64,7
64,2
64,1
65,7
65,2
65,1
66,12
66,2
66,1
67,6
67,5
67,4
67,3
67,2
67,1
68,6
68,5
68,4
68,3
68,2
68,1
69,6
69,5
69,4
69,3
69,2
69,1
70,2
70,1
