title,description,super_category,is_active,meta_title,meta_desc,alt_tag,id_num
Best Sellers,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,1
Boston,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,2
Chicago Bears,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,3
Chicago Black & White,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,4
Chicago Blackhawks,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,5
Chicago Bulls,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,6
Chicago Cityscape,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,7
Chicago Cubs,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,8
Chicago Landmarks,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,9
Chicago Panoramas,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,10
Chicago Vintage,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,11
Chicago White Sox,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,12
College Football,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,13
European Cities,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,14
Holiday Shopping,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,15
MLB,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,16
Nature,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,17
NFL,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,18
San Francisco,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,19
xxx,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,20
What's New,This is the main category description,Chicago Sports,TRUE,This is the meta title,This is the meta desc,This is the alt tag,20
