prod_id,title,main_cat,sub_cat,category_id,desc,is_active,artist_name,year_taken,format_id,show_bw_conversion,rotating_keyword
133,Chicago Harbor Lighthouse,Chicago Cityscape,Chicago Cityscape,26,This Chicago Cityscape photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photo
260,Lonely Bench on a Cold Winter Day,Chicago Black & White,Black & White Chicago - Horizontal,9,"This Black & White Chicago - Horizontal photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  **This is actually a color photograph, but the day was so overcast and dreary that it looks like an original black and white image.  If you want a true black and white image, please choose the option to Convert photo to B/W.  This photograph of Chicago's Lakefront shows how violent the waters can get when bad weather hits the city.  The photo was shot right off Fullerton Street and was taken around 20 years ago.  It is still a best seller.",TRUE,bob horsch,2004,1,FALSE,print
345,Blizzard of 1979 - Chicago Winter,Chicago Black & White,Black & White Chicago - Horizontal,9,"This Black & White Chicago - Horizontal picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This photograph captures the harsh winter conditions in Chicago.  This was taken during the winter of 1979 in which over 15 inches of snow fell on several days.  Rather than walk, the man pictured in the photo decided to snow ski along the road.  View more Chicago Black & White photos",TRUE,bob horsch,2004,1,FALSE,picture
405,Wrigley FIeld Aerial - 1980's,Chicago Cubs,Wrigley Field Aerials,64,This Wrigley Field Aerials photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photograph
537,Catwalk at Wrigley Field,Chicago Cubs,Wrigley Field,63,This Wrigley Field photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a very old photograph of Wrigley Field taken around 20 years ago.    The 'catwalk' was where the press used to sit and report on the game.,TRUE,bob horsch,2004,1,TRUE,photo
563,The S Curve of Lake Shore Drive,Chicago Cityscape,Chicago Aerial Views,22,"This Chicago Aerial Views print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  Lake Shore Drive stayed essentially the same until 1975, when Wacker Drive was extended east to meet LSD at the S-curve.   Then, around 1982, construction began on a re-configuration of the S-Curve. From Monroe Street to Wacker Drive, LSD was rerouted east along new fill, greatly reducing the sharpness of the curve. This section opened in 1987.",TRUE,bob horsch,2004,1,TRUE,print
586,Rough Waters on City Lakefront,Chicago Black & White,Black & White Chicago - Vertical,10,This Black & White Chicago - Vertical print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This vertical photograph of Chicago's Lakefront shows how violent the waters can get when bad weather hits the city.  The photo was shot right off Fullerton Street and was taken around 20 years ago.,TRUE,bob horsch,2004,1,TRUE,picture
678,Columbus Discovering Chicago,Chicago Cityscape,Chicago Cityscape,26,"This Chicago Cityscape photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is one of our best selling photographs that was taken while out on Lake Michigan nearly 30 years ago.  The Chicago skyline sits on the horizon as one of the 'pirate like' ships from the Mackinaw Race departs from the city.  This photo was taken with a   fisheye lens which is a wide-angle lens that takes in an extremely wide, hemispherical image.",TRUE,bob horsch,2004,1,TRUE,photograph
679,Frank Sinatra at the Chicago Theatre,Chicago Landmarks,Chicago Theatre,32,"This Chicago Theatre picture is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This rare photograph of Frank Sinatra playing at the Chicago Theatre was taken on September 10, 1986.  The theatre had just reopened after a $4.3 million, year long renovation.  The opening act was stand up comedian, Tom Dreesen who had toured with Sinatra at the tail end of his career.  Frank Sinatra once told an audience, 'If I'm a saloon singer, then Tom  Dreesen is a saloon comedian.' 'By that', he explained, 'we're both a  couple of neighborhood guys.'    For 13 years Tom opened for Frank Sinatra and together they  toured 45 to 50 cities annually at some of the greatest venues in  America.  During that time, Tom once said in a Los Angeles Times  interview, 'As a kid growing up in Harvey, Illinois I used to shine  shoes in the neighborhood taverns, listening to Frank Sinatra on the  jukebox singing, 'Come Fly With Me'. Now, I'm flying with Frank Sinatra  on his private jet all over the country.'",TRUE,bob horsch,2004,1,TRUE,photo
712,Comiskey Park Aerial View,Chicago White Sox,Comiskey Park,34,"This Comiskey Park photo is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a classic aerial photograph of Old Comiskey Park taken around the mid 1980's.  The Sox would continue to play in this stadium until their final game in 1990.  The following season they began in a new ballpark right across the street.  It originally held the name, Comiskey Park, but was later changed to U.S. Cellular Field in 2003.   This photo would make a great collector's piece for any die hard White Sox fan.",TRUE,bob horsch,2004,1,TRUE,print
822,Old Aerial of Wrigley Field - No Lights,Chicago Cubs,Wrigley Field Aerials,64,"This Wrigley Field Aerials photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  This is a great color photograph of Wrigley Field before lights were installed in the ballpark.  During this time only home games could be played at the ballpark.  This would all change on 8/8/88 when the Cubs played their first night game.  The photo was taken about 20 years ago from a small airplane during a summer day in which Cubs fans turned out to watch a great game  Opened in 1914, Wrigley Field is the second oldest baseball stadium behind Fenway Park.",TRUE,bob horsch,2004,1,TRUE,picture
891,State Street in the 1980s,Chicago Landmarks,State Street,53,This State Street print is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  ,TRUE,bob horsch,2004,1,TRUE,photograph
1064,Chicago Bears 46 Defense,Chicago Bears,Chicago Bears Players,23,This Chicago Bears Players photograph is for sale as a 11x14 photo w/ 14x18 mat.  More sizes available framed and unframed.  Here is a photograph of the Bears 46 defense pursuing quarterback Phil Sims of the New York Giants.  This specific defensive formation would be an integral part of the Chicago Bears 1985 season in which they won Super Bowl XX.,TRUE,bob horsch,2004,1,TRUE,photo
