photo_id,category_id
1,26
2,9
3,9
4,64
5,63
6,22
7,10
8,26
9,32
10,34
11,64
12,53
13,23
14,23
15,23
16,27
17,23
18,27
19,26
20,26
21,40
22,40
23,22
24,63
25,34
26,34
27,34
28,34
29,34
30,33
31,33
32,26
33,34
34,50
35,45
36,40
37,34
38,45
39,40
40,19
41,18
42,26
43,7
44,7
45,7
46,7
47,7
48,45
49,63
50,19
51,23
52,9
53,40
54,40
55,45
56,24
57,40
58,19
59,34
60,51
61,29
62,7
63,7
64,23
65,62
66,24
67,45
68,40
69,19
70,40
71,40
72,29
73,29
74,29
75,29
76,46
77,22
78,45
79,46
80,24
81,29
82,24
83,64
84,7
85,45
86,32
87,45
88,45
89,40
90,40
91,40
92,24
93,45
94,64
95,27
96,64
97,20
98,20
99,20
100,44
101,44
102,44
103,30
104,24
105,24
106,24
107,19
108,19
109,40
110,20
111,20
112,20
113,22
114,22
115,22
116,7
117,40
118,22
119,40
120,40
121,40
122,40
123,40
124,40
125,40
126,19
127,29
128,43
129,39
130,39
131,39
132,24
133,29
134,40
135,40
136,25
137,19
138,19
139,19
140,19
141,19
142,19
143,63
144,23
145,22
146,22
147,26
148,34
149,29
150,29
151,24
152,44
153,44
154,7
155,26
156,33
157,33
158,62
159,26
160,64
161,64
162,63
163,29
164,7
165,63
166,29
167,29
168,50
169,50
170,46
171,46
172,25
173,30
174,7
175,44
176,26
177,26
178,63
179,63
180,59
181,51
182,51
183,51
184,26
185,46
186,26
187,59
188,50
189,46
190,29
191,22
192,22
193,26
194,26
195,43
196,30
197,33
198,41
199,33
200,63
201,63
202,63
203,59
204,1
205,1
206,26
207,22
208,27
209,27
210,59
211,59
212,22
213,26
214,33
215,43
216,23
217,23
218,23
219,50
220,46
221,18
222,32
223,22
224,27
225,63
226,66
227,66
228,49
229,49
230,35
231,35
232,2
233,2
234,43
235,29
236,24
237,26
238,22
239,58
240,58
241,58
242,58
243,58
244,58
245,58
246,58
247,58
248,58
249,41
250,41
251,58
252,58
253,58
254,46
255,46
256,25
257,25
258,23
259,43
260,22
261,24
262,24
263,24
264,45
265,24
266,24
267,24
268,24
269,24
270,24
271,63
272,59
273,26
274,26
275,26
276,46
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,55
307,55
308,55
309,55
310,55
311,55
312,55
313,55
314,18
315,7
316,7
317,7
318,34
319,25
320,43
321,18
322,18
323,18
324,18
325,26
326,63
327,63
328,58
329,63
330,66
331,66
332,66
333,66
334,59
335,26
336,18
337,50
338,46
339,41
340,26
341,63
342,46
343,30
344,30
345,32
346,22
347,22
348,22
349,22
350,22
351,22
352,22
353,22
354,22
355,22
356,22
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,42
371,20
372,42
373,7
374,7
375,42
376,19
377,61
378,61
379,45
380,61
381,61
382,61
